Complexity,Loss,Equation
1,37.054047,"3.5138583"
3,20.12325,"(x0 * x0)"
4,17.356243,"(cos(x3) * 8.009311)"
5,17.3106,"(sin(cos(x3)) * 9.078553)"
6,14.146063,"((cos(x3) * 7.1501193) + 1.8915201)"
7,13.178305,"((x0 * x0) + exp(cos(x3)))"
8,0.22423893,"((cos(x3) * 6.311219) + (x0 * x0))"
10,2.4539593e-13,"(((cos(x3) * 6.5382986) + -0.5) + (x0 * x0))"
